fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
0,4,9,,75,162,250,,,,42894534,73502114
0,6,11,,2,4,5,,,,42894535,73502115
0,4,9,,5,40,75,,,,42894535,73502116
0,4,9,,75,162,250,,,,42894535,73502117
0,6,11,,2,4,5,,,,42894536,73502118
0,5,9,,5,40,75,,,,42894536,73502119
0,2,3,,75,162,250,,,,42894536,73502120
NA,NA,NA,,5,40,75,,,,42894537,73502121
0,7,14,,2,4,5,,,,42894538,73502122
23,30,37,,5,40,75,,,,42894538,73502123
0,3,6,,75,162,250,,,,42894538,73502124
0,13,26,,2,4,5,,,,42894539,73502125
24,36,48,,5,40,75,,,,42894539,73502126
0,2,3,,75,162,250,,,,42894539,73502127
NA,NA,NA,,5,40,75,,,,42894540,73502128
0,12,23,,2,4,5,,,,42894541,73502129
26,37,48,,5,40,75,,,,42894541,73502130
0,3,6,,75,162,250,,,,42894541,73502131
NA,NA,NA,,5,40,75,,,,42894542,73502132
0,7,14,,2,4,5,,,,42894543,73502133
23,30,37,,5,40,75,,,,42894543,73502134
0,3,6,,75,162,250,,,,42894543,73502135
NA,NA,NA,,5,40,75,,,,42894544,73502136
NA,NA,NA,,5,40,75,,,,42894548,73502137
0,6,11,,2,4,5,,,,42894549,73502138
0,5,9,,5,40,75,,,,42894549,73502139
0,6,11,,2,4,5,,,,42894550,73502140
0,5,9,,5,40,75,,,,42894550,73502141
0,2,3,,2,4,5,,,,42894566,73502150
0,2,3,,2,4,5,,,,42894567,73502151
0,6,11,,2,4,5,,,,42894590,73502156
0,5,9,,5,40,75,,,,42894590,73502157
0,2,3,,2,4,5,,,,42894592,73502158
0,2,3,,5,40,75,,,,42894592,73502159
NA,NA,NA,,5,40,75,,,,42894593,73502160
0,6,11,,2,4,5,,,,42894598,73502177
0,5,9,,5,40,75,,,,42894598,73502178
0,2,3,,75,162,250,,,,42894598,73502179
0,7,14,,2,4,5,,,,42894599,73502180
0,6,11,,5,40,75,,,,42894599,73502181
NA,NA,NA,,5,40,75,,,,42894600,73502182
0,6,11,,2,4,5,,,,42894601,73502183
0,5,9,,5,40,75,,,,42894601,73502184
0,6,11,,2,4,5,,,,42894602,73502185
0,5,9,,5,40,75,,,,42894602,73502186
NA,NA,NA,,5,40,75,,,,42894603,73502187
0,6,11,,2,4,5,,,,42894611,73502203
0,5,9,,5,40,75,,,,42894611,73502204
0,6,11,,2,4,5,,,,42894613,73502205
0,5,9,,5,40,75,,,,42894613,73502206
0,6,11,,2,4,5,,,,42894614,73502207
0,5,9,,5,40,75,,,,42894614,73502208
0,6,11,,2,4,5,,,,42894615,73502209
0,5,9,,5,40,75,,,,42894615,73502210
0,7,14,,2,4,5,,,,42894644,73502218
10,17,23,,5,40,75,,,,42894644,73502219
0,5,9,,75,162,250,,,,42894644,73502220
0,7,14,,2,4,5,,,,42894645,73502221
22,30,37,,5,40,75,,,,42894645,73502222
0,5,9,,75,162,250,,,,42894645,73502223
