unifiedcl,rvindicator,chkey,chunifiedkey
SM,Yes,45496409,85731245
GM,No ,45496410,85731246
GP-GM,Yes,45496410,85731247
GC-GM,Yes,45496412,85731248
GC-GM,Yes,45496413,85731249
PT,Yes,45496414,85731250
GC,Yes,45496415,85731251
GC,Yes,45496416,85731252
GM,Yes,45496436,85731272
GP-GM,No ,45496436,85731273
GP,No ,45496436,85731274
SM,Yes,45496438,85731275
PT,Yes,45496439,85731276
SM,Yes,45496440,85731277
SM,Yes,45496441,85731278
GM,Yes,45496442,85731279
GP-GM,No ,45496442,85731280
GM,Yes,45496443,85731281
PT,Yes,45496444,85731282
PT,Yes,45496446,85731283
SM,Yes,45496448,85731284
GM,Yes,45496449,85731285
GP-GM,No ,45496449,85731286
GM,Yes,45496450,85731287
GP-GM,No ,45496450,85731288
SM,Yes,45496451,85731289
GM,No ,45496451,85731290
SM,Yes,45496452,85731291
SM,Yes,45496453,85731292
SM,Yes,45496454,85731293
SP,No ,45496455,85731294
GP-GM,No ,45496455,85731295
SP-SM,No ,45496455,85731296
GP,Yes,45496455,85731297
GC-GM,Yes,45496496,85731359
GC,Yes,45496497,85731360
GC,Yes,45496498,85731361
GC-GM,Yes,45496500,85731362
PT,Yes,45496501,85731363
PT,Yes,45496502,85731364
GC-GM,Yes,45496503,85731365
GC,Yes,45496504,85731366
GC,Yes,45496505,85731367
GC-GM,Yes,45496506,85731368
GC-GM,Yes,45496507,85731369
GC,Yes,45496508,85731370
GC,Yes,45496509,85731371
GC-GM,Yes,45496511,85731372
PT,Yes,45496512,85731373
GC-GM,Yes,45496513,85731374
GC,Yes,45496514,85731375
PT,Yes,45496516,85731376
GC-GM,Yes,45496517,85731377
GC,Yes,45496518,85731378
GM,No ,45496519,85731379
GP-GM,Yes,45496519,85731380
PT,Yes,45496521,85731381
GM,No ,45496522,85731382
SM,Yes,45496522,85731383
GM,Yes,45496523,85731384
GP-GM,No ,45496523,85731385
SP-SM,No ,45496523,85731386
SM,No ,45496523,85731387
GM,Yes,45496524,85731388
GP-GM,No ,45496524,85731389
SP-SM,No ,45496524,85731390
SM,No ,45496524,85731391
GW-GM,Yes,45496525,85731392
SC-SM,No ,45496525,85731393
PT,Yes,45496529,85731394
GM,No ,45496530,85731395
SM,Yes,45496530,85731396
GM,No ,45496531,85731397
GP-GM,Yes,45496531,85731398
GW-GM,Yes,45496533,85731399
SC-SM,No ,45496533,85731400
GM,Yes,45496534,85731401
GP-GM,No ,45496534,85731402
SP-SM,No ,45496534,85731403
SM,No ,45496534,85731404
GM,Yes,45496535,85731405
GP-GM,No ,45496535,85731406
SP-SM,No ,45496535,85731407
SM,No ,45496535,85731408
PT,Yes,45496536,85731409
GM,No ,45496538,85731410
SM,Yes,45496538,85731411
GM,No ,45496539,85731412
GP-GM,Yes,45496539,85731413
GW-GM,Yes,45496582,85731480
SC-SM,No ,45496582,85731481
GM,Yes,45496584,85731482
GP-GM,No ,45496584,85731483
SP-SM,No ,45496584,85731484
SM,No ,45496584,85731485
GM,Yes,45496585,85731486
GP-GM,No ,45496585,85731487
SP-SM,No ,45496585,85731488
SM,No ,45496585,85731489
SM,Yes,45496586,85731490
SM,Yes,45496587,85731491
SM,Yes,45496588,85731492
SP,No ,45496589,85731493
GP-GM,No ,45496589,85731494
SP-SM,No ,45496589,85731495
GP,Yes,45496589,85731496
GP-GM,Yes,45496612,85731527
SP-SM,No ,45496612,85731528
GM,No ,45496612,85731529
SM,No ,45496612,85731530
GM,Yes,45496613,85731531
GP-GM,No ,45496613,85731532
SP-SM,No ,45496613,85731533
SM,No ,45496613,85731534
GM,Yes,45496614,85731535
SM,No ,45496614,85731536
SC,Yes,45496615,85731537
SC-SM,No ,45496615,85731538
GC-GM,No ,45496616,85731539
SC-SM,No ,45496616,85731540
SM,Yes,45496616,85731541
GC-GM,Yes,45496617,85731542
GC-GM,Yes,45496618,85731543
GC,Yes,45496619,85731544
GC,Yes,45496620,85731545
PT,Yes,45496621,85731546
GC-GM,Yes,45496622,85731547
GC-GM,Yes,45496623,85731548
GC,Yes,45496624,85731549
GC,Yes,45496625,85731550
PT,Yes,45496627,85731551
PT,Yes,45496628,85731552
GC-GM,Yes,45496629,85731553
GC-GM,Yes,45496630,85731554
GC,Yes,45496631,85731555
GC,Yes,45496632,85731556
GC-GM,Yes,45496634,85731557
GC,Yes,45496635,85731558
GC,Yes,45496636,85731559
GC-GM,Yes,45496638,85731560
PT,Yes,45496639,85731561
PT,Yes,45496661,85731595
GM,No ,45496663,85731596
SM,Yes,45496663,85731597
GM,No ,45496664,85731598
GP-GM,Yes,45496664,85731599
PT,Yes,45496665,85731600
GM,No ,45496667,85731601
SM,Yes,45496667,85731602
GM,No ,45496668,85731603
GP-GM,Yes,45496668,85731604
GM,Yes,45496669,85731605
GP-GM,No ,45496669,85731606
SP-SM,No ,45496669,85731607
SM,No ,45496669,85731608
SP-SM,No ,45496670,85731609
SM,No ,45496670,85731610
GM,Yes,45496670,85731611
GP-GM,No ,45496670,85731612
GW-GM,Yes,45496671,85731613
SC-SM,No ,45496671,85731614
SM,Yes,45496703,85731644
GM,No ,45496704,85731645
SM,No ,45496704,85731646
SC-SM,No ,45496704,85731647
GC-GM,Yes,45496704,85731648
GM,No ,45496705,85731649
SC-SM,No ,45496705,85731650
GC-GM,Yes,45496705,85731651
SM,No ,45496705,85731652
GW-GC,Yes,45496706,85731653
GC,No ,45496706,85731654
GC,No ,45496707,85731655
GW-GC,Yes,45496707,85731656
PT,Yes,45496708,85731657
SM,Yes,45496709,85731658
GM,Yes,45496710,85731659
GP-GM,No ,45496710,85731660
SP-SM,No ,45496710,85731661
SM,No ,45496710,85731662
GM,Yes,45496711,85731663
GP-GM,No ,45496711,85731664
SP-SM,No ,45496711,85731665
SM,No ,45496711,85731666
GW-GM,Yes,45496712,85731667
SC-SM,No ,45496712,85731668
PT,Yes,45496714,85731669
GM,No ,45496716,85731670
SM,Yes,45496716,85731671
