aashtocl,rvindicator,chkey,chaashtokey
A-6,Yes,42895004,70100069
A-6,Yes,42895005,70100070
A-4,No ,42895005,70100071
A-6,Yes,42895006,70100072
A-4,No ,42895006,70100073
A-7-6,Yes,42895007,70100074
A-7-6,Yes,42895008,70100075
A-7-6,Yes,42895009,70100076
A-7-6,Yes,42895010,70100077
A-7-6,Yes,42895011,70100078
A-7-6,Yes,42895012,70100079
A-4,Yes,42895013,70100080
A-7-6,Yes,42895014,70100081
A-7-6,Yes,42895015,70100082
A-7-6,Yes,42895016,70100083
A-6,Yes,42895017,70100084
A-6,Yes,42895018,70100085
A-4,Yes,42895019,70100086
A-6,Yes,42895020,70100087
A-6,Yes,42895021,70100088
A-6,Yes,42895022,70100089
A-6,Yes,42895023,70100090
A-6,Yes,42895024,70100091
A-7-6,Yes,42895025,70100092
A-7-6,Yes,42895026,70100093
A-6,Yes,42895027,70100094
A-6,Yes,42895028,70100095
A-7-6,Yes,42895029,70100096
A-6,Yes,42895030,70100097
A-7-6,Yes,42895031,70100098
A-6,No ,42895031,70100099
A-7-6,Yes,42895032,70100100
A-6,No ,42895032,70100101
A-6,Yes,42895033,70100102
A-7-6,No ,42895033,70100103
A-6,Yes,42895034,70100104
A-6,Yes,42895035,70100105
A-7-6,Yes,42895036,70100106
A-7-6,Yes,42895037,70100107
A-6,No ,42895037,70100108
A-6,Yes,42895038,70100109
A-4,Yes,42895039,70100110
A-7-6,Yes,42895040,70100111
A-7-6,Yes,42895041,70100112
A-7-6,Yes,42895042,70100113
A-4,Yes,45496137,74366193
A-1-b,Yes,45496138,74366194
A-2-4,No ,45496138,74366195
A-7,Yes,45496139,74366196
A-1-b,Yes,45496203,74366269
A-2-4,No ,45496203,74366270
A-6,Yes,45496205,74366271
A-7,Yes,45496206,74366272
A-2,No ,45496236,74366305
A-1-b,Yes,45496236,74366306
A-1-a,Yes,45496237,74366307
A-2,Yes,45496238,74366308
A-2,Yes,45496239,74366309
A-2,No ,45496253,74366319
A-1-b,Yes,45496253,74366320
A-1-b,Yes,45496254,74366321
A-2,No ,45496254,74366322
A-1-b,Yes,45496256,74366323
A-1,Yes,45496270,74366336
A-1,Yes,45496271,74366337
A-8,Yes,45496272,74366338
A-1,Yes,45496273,74366339
A-2,No ,45496403,74366500
A-1-a,Yes,45496403,74366501
A-2,No ,45496404,74366502
A-1-a,Yes,45496404,74366503
A-2-4,Yes,45496405,74366504
A-2-4,Yes,45496406,74366505
A-8,Yes,45496407,74366506
A-1,Yes,45496438,74366533
A-8,Yes,45496439,74366534
A-1,Yes,45496440,74366535
A-4,No ,45496454,74366556
A-2,No ,45496454,74366557
