comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
NA,20,NA,Midway,Series,Yes,"SHALLOW, LOW PE",,5,15,25,NA,NA,NA,Medium,2,86,4L,,,,,No,Well drained,1859,1996,2134,49,145,241,hills,NA,0.3,NA,7.8,8.3,8.9,406,432,457,NA,NA,NA,125,135,145,7,e,NA,NA,,NA,NA,,NA,300,550,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Low,0,0,0,NA,NA,NA,D,Low,High,"Clayey, smectitic, calcareous, mesic, shallow Ustic Torriorthents",Entisols,Orthents,Torriorthents,Ustic Torriorthents,clayey,,,calcareous,mesic,Ustic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95376,14875557
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95376,14875558
NA,NA,NA,Pleasant,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,NA,NA,NA,depressions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95376,14875559
NA,85,NA,Ascalon,Series,Yes,"NIRR, COOL",,1,2,3,NA,NA,NA,Low,5,86,3,,,,,No,Well drained,1676,1828,1981,71,143,215,"flats, uplands",NA,0.23,NA,8.3,8.9,10,356,381,406,NA,NA,NA,130,140,150,4,e,NA,3,e,NA,NA,,NA,1000,1500,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Moderate,0,0,0,NA,NA,NA,B,Low,Moderate,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,,superactive,not used,mesic,Aridic (torric),mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95378,14875564
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95378,14875565
NA,NA,NA,Pleasant,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,NA,NA,NA,depressions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95378,14875566
NA,45,NA,Connerton,Series,Yes,NIRR,,8,19,30,NA,NA,NA,Medium,5,48,6,,,,,No,Well drained,1890,1936,1981,54,159,264,"alluvial fans, hills",NA,0.16,NA,7.8,8.3,8.9,381,406,457,NA,NA,NA,100,110,120,6,e,NA,NA,,NA,NA,,NA,800,1000,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Low,0,0,0,NA,NA,NA,B,High,High,"Fine-loamy, mixed, superactive, mesic Torriorthentic Haplustolls",Mollisols,Ustolls,Haplustolls,Torriorthentic Haplustolls,fine-loamy,,superactive,not used,mesic,Aridic (torric),mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95379,14875567
NA,40,NA,Rock outcrop,Miscellaneous area,Yes,,,8,49,90,NA,NA,NA,,NA,0,8,,Barren land,,,No,,NA,NA,NA,54,159,264,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,s,8,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,None,0,0,0,NA,NA,NA,D,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95379,14875568
NA,NA,NA,Other soils,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,No,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95379,14875569
NA,85,NA,Ellicott,Series,Yes,,,0,3,5,NA,NA,NA,Very low,5,134,2,,,,,No,Somewhat excessively drained,1676,1829,1981,83,161,240,"flood plains, stream terraces",NA,0.23,NA,8.3,8.9,10,330,356,381,NA,NA,NA,125,135,145,7,w,NA,NA,,NA,NA,,NA,800,1200,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Low,0,0,0,NA,NA,NA,A,Low,High,"Sandy, mixed, mesic Ustic Torrifluvents",Entisols,Fluvents,Torrifluvents,Ustic Torrifluvents,sandy,,,not used,mesic,Ustic,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,NA,NA,95387,14875589
